Date,000001.SS,^BVSP,^FTSE,^GSPC,^GSPTSE,^HSI,^IBEX,^N225,^STOXX50E
2024-03-05,3047.79296875,128098.0,7646.2001953125,5078.64990234375,21525.900390625,16162.6396484375,10117.099609375,40097.62890625,4893.06982421875
2024-03-06,3039.930908203125,128890.0,7679.2998046875,5104.759765625,21594.0,16438.08984375,10197.2001953125,40090.78125,4915.490234375
2024-03-07,3027.40087890625,128340.0,7692.5,5157.35986328125,21794.599609375,16229.7802734375,10319.599609375,39598.7109375,4974.22021484375
2024-03-08,3046.01904296875,127071.0,7659.7001953125,5123.68994140625,21737.5,16353.3896484375,10305.7001953125,39688.94140625,4961.10986328125
2024-03-11,3068.455078125,126124.0,7669.2001953125,5117.93994140625,21769.19921875,16587.5703125,10325.7001953125,38820.48828125,4930.419921875
2024-03-12,3055.93505859375,127668.0,7747.7998046875,5175.27001953125,21831.0,17093.5,10388.900390625,38797.51171875,4983.2001953125
2024-03-13,3043.8349609375,128006.0,7772.2001953125,5165.31005859375,21970.099609375,17082.109375,10560.5,38695.96875,5000.5498046875
2024-03-14,3038.23388671875,127690.0,7743.2001953125,5150.47998046875,21829.900390625,16961.66015625,10490.5,38807.37890625,4993.1201171875
2024-03-15,3054.635986328125,126742.0,7727.39990234375,5117.08984375,21849.19921875,16720.890625,10597.900390625,38707.640625,4986.02001953125
2024-03-18,3084.926025390625,126954.0,7722.60009765625,5149.419921875,21837.19921875,16737.119140625,10596.7001953125,39740.44140625,4982.759765625
2024-03-19,3062.756103515625,127529.0,7738.2998046875,5178.509765625,21860.599609375,16529.48046875,10701.400390625,40003.6015625,5007.919921875
2024-03-21,3077.113037109375,128159.0,7882.60009765625,5241.52978515625,22087.30078125,16863.099609375,10867.5,40815.66015625,5052.31005859375
2024-03-22,3048.033935546875,127027.0,7930.89990234375,5234.18017578125,21984.099609375,16499.470703125,10943.2001953125,40888.4296875,5031.14990234375
2024-03-25,3026.305908203125,126931.0,7917.60009765625,5218.18994140625,21942.30078125,16473.640625,10952.2001953125,40414.12109375,5044.18994140625
2024-03-26,3031.48095703125,126863.0,7931.0,5203.580078125,21912.5,16618.3203125,10991.5,40398.03125,5064.18017578125
2024-03-27,2993.138916015625,127691.0,7932.0,5248.490234375,22107.099609375,16392.83984375,11111.2998046875,40762.73046875,5081.740234375
2024-03-28,3010.6640625,128106.0,7952.60009765625,5254.35009765625,22167.0,16541.419921875,11074.599609375,40168.0703125,5083.419921875
2024-04-02,3074.958984375,127549.0,7935.10009765625,5205.81005859375,22075.099609375,16931.51953125,10975.599609375,39838.91015625,5042.0
2024-04-03,3069.2958984375,127318.0,7937.39990234375,5211.490234375,22112.5,16725.099609375,11032.2998046875,39451.8515625,5069.25
2024-04-08,3047.052978515625,128857.0,7943.5,5202.39013671875,22260.30078125,16732.849609375,10911.7998046875,39347.0390625,5046.0498046875
2024-04-09,3048.537109375,129890.0,7934.7998046875,5209.91015625,22361.80078125,16828.0703125,10816.0,39773.12890625,4990.89990234375
2024-04-10,3027.3349609375,128054.0,7961.2001953125,5160.64013671875,22199.099609375,17139.169921875,10775.0,39581.80859375,5000.830078125
2024-04-11,3034.24609375,127396.0,7923.7998046875,5199.06005859375,22110.099609375,17095.029296875,10649.7998046875,39442.62890625,4966.68017578125
2024-04-12,3019.47412109375,125946.0,7995.60009765625,5123.41015625,21900.0,16721.689453125,10686.0,39523.55078125,4955.009765625
2024-04-15,3057.3779296875,125334.0,7965.5,5061.81982421875,21740.19921875,16600.4609375,10687.2001953125,39232.80078125,4984.47998046875
2024-04-16,3007.068115234375,124389.0,7820.39990234375,5051.41015625,21642.900390625,16248.9697265625,10526.900390625,38471.19921875,4916.990234375
2024-04-17,3071.381103515625,124171.0,7848.0,5022.2099609375,21656.099609375,16251.83984375,10633.900390625,37961.80078125,4914.1298828125
2024-04-18,3074.22509765625,124196.0,7877.10009765625,5011.1201171875,21708.400390625,16385.869140625,10765.0,38079.69921875,4936.56982421875
2024-04-19,3065.260986328125,125124.0,7895.89990234375,4967.22998046875,21807.400390625,16224.1396484375,10729.5,37068.3515625,4918.08984375
2024-04-22,3044.594970703125,125573.0,8023.89990234375,5010.60009765625,21872.0,16511.689453125,10890.2001953125,37438.609375,4936.85009765625
2024-04-23,3021.97802734375,125148.0,8044.7998046875,5070.5498046875,22011.69921875,16828.9296875,11075.400390625,37552.16015625,5008.169921875
2024-04-24,3044.822021484375,124741.0,8040.39990234375,5071.6298828125,21873.69921875,17201.26953125,11027.7998046875,38460.078125,4989.8798828125
2024-04-25,3052.89990234375,124646.0,8078.89990234375,5048.419921875,21885.400390625,17284.5390625,10983.7001953125,37628.48046875,4939.009765625
2024-04-26,3088.635986328125,126526.0,8139.7998046875,5099.9599609375,21969.19921875,17651.150390625,11154.599609375,37934.76171875,5006.85009765625
2024-04-30,3104.824951171875,125924.0,8144.10009765625,5035.68994140625,21714.5,17763.029296875,10854.400390625,38405.66015625,4921.22021484375
2024-05-07,3147.738037109375,129210.0,8313.7001953125,5187.7001953125,22290.599609375,18479.369140625,11080.900390625,38835.1015625,5016.10009765625
2024-05-08,3128.47998046875,129481.0,8354.099609375,5187.669921875,22259.19921875,18313.859375,11153.0,38202.37109375,5038.169921875
2024-05-10,3154.547119140625,127600.0,8433.7998046875,5222.68017578125,22308.900390625,18963.6796875,11105.5,38229.109375,5085.080078125
